1.0,Faldo,White,1,448,4,7
2.0,Faldo,White,2,185,3,17
3.0,Faldo,White,3,349,4,11
4.0,Faldo,White,4,569,5,3
5.0,Faldo,White,5,367,4,9
6.0,Faldo,White,6,565,5,5
7.0,Faldo,White,7,212,3,13
8.0,Faldo,White,8,397,4,1
9.0,Faldo,White,9,383,4,15
10.0,Faldo,White,10,487,4,8
11.0,Faldo,White,11,144,3,16
12.0,Faldo,White,12,343,4,6
13.0,Faldo,White,13,646,5,2
14.0,Faldo,White,14,375,4,10
15.0,Faldo,White,15,363,4,14
16.0,Faldo,White,16,136,3,18
17.0,Faldo,White,17,407,4,4
18.0,Faldo,White,18,509,5,12
19.0,Faldo,Yellow,1,424,4,7
20.0,Faldo,Yellow,2,161,3,17
21.0,Faldo,Yellow,3,339,4,11
22.0,Faldo,Yellow,4,523,5,3
23.0,Faldo,Yellow,5,338,4,9
24.0,Faldo,Yellow,6,535,5,5
25.0,Faldo,Yellow,7,198,3,13
26.0,Faldo,Yellow,8,366,4,1
27.0,Faldo,Yellow,9,355,4,15
28.0,Faldo,Yellow,10,474,4,8
29.0,Faldo,Yellow,11,126,3,16
30.0,Faldo,Yellow,12,327,4,6
31.0,Faldo,Yellow,13,570,5,2
32.0,Faldo,Yellow,14,358,4,10
33.0,Faldo,Yellow,15,331,4,14
34.0,Faldo,Yellow,16,122,3,18
35.0,Faldo,Yellow,17,386,4,4
36.0,Faldo,Yellow,18,474,5,12
37.0,Oconnor,White,1,561,5,11
38.0,Oconnor,White,2,353,4,7
39.0,Oconnor,White,3,162,3,15
40.0,Oconnor,White,4,408,4,3
41.0,Oconnor,White,5,517,5,17
42.0,Oconnor,White,6,180,3,9
43.0,Oconnor,White,7,395,4,5
44.0,Oconnor,White,8,406,4,1
45.0,Oconnor,White,9,434,4,13
46.0,Oconnor,White,10,427,4,6
47.0,Oconnor,White,11,547,5,14
48.0,Oconnor,White,12,386,4,8
49.0,Oconnor,White,13,161,3,18
50.0,Oconnor,White,14,417,4,2
51.0,Oconnor,White,15,422,4,4
52.0,Oconnor,White,16,530,5,12
53.0,Oconnor,White,17,165,3,16
54.0,Oconnor,White,18,389,4,10
55.0,Oconnor,Yellow,1,544,5,11
56.0,Oconnor,Yellow,2,329,4,7
57.0,Oconnor,Yellow,3,152,3,15
58.0,Oconnor,Yellow,4,392,4,3
59.0,Oconnor,Yellow,5,499,5,17
60.0,Oconnor,Yellow,6,165,3,9
61.0,Oconnor,Yellow,7,378,4,5
62.0,Oconnor,Yellow,8,361,4,1
63.0,Oconnor,Yellow,9,417,4,13
64.0,Oconnor,Yellow,10,411,4,6
65.0,Oconnor,Yellow,11,516,5,14
66.0,Oconnor,Yellow,12,366,4,8
67.0,Oconnor,Yellow,13,144,3,18
68.0,Oconnor,Yellow,14,376,4,2
69.0,Oconnor,Yellow,15,394,4,4
70.0,Oconnor,Yellow,16,517,5,12
71.0,Oconnor,Yellow,17,164,3,16
72.0,Oconnor,Yellow,18,370,4,10